activity_tag,domain,citation,pmid,doi,design,population,comparator,outcome,value_as_printed,evidence_hierarchy,confidence,notes
LEGACY_VERIFICATION,polypharmacy,"Davies LE et al. J Am Med Dir Assoc. 2020;21(2):181-187.",31926797,10.1016/j.jamda.2019.10.022,systematic review of reviews (26 reviews/230 studies),older adults,n/a,most consistent outcomes,"hospitalization; inappropriate prescribing most consistent; ADE/disability evidence 'conflicting'",OBSERVATIONAL EVIDENCE,HIGH,no effect size in abstract
LEGACY_VERIFICATION,polypharmacy,"Borodo SB et al. Bull Natl Res Cent. 2022;46:178.",not indexed,10.1186/s42269-022-00864-3,review (Nigeria),older adults with chronic disorders,n/a,polypharmacy prevalence,"up to 23.8%",OBSERVATIONAL EVIDENCE,HIGH,
LEGACY_VERIFICATION,polypharmacy,"Goldberg RM et al. Am J Emerg Med. 1996;14(5):447-450.",8765105,10.1016/S0735-6757(96)90147-3,observational (ED cohort),n=205 ED patients,by drug count,ADI risk by drug count,"226 potential ADIs in 89 pts (47%); risk 13% at 2 meds to 82% at >=7 meds",OBSERVATIONAL EVIDENCE,HIGH,
LEGACY_VERIFICATION,DDI-general,"Rai GS, Rozario CJ. Anaesth Intensive Care Med. 2023;24(4):217-220.",not indexed,10.1016/j.mpaic.2023.01.001,narrative review,n/a,n/a,DDI mechanisms overview,"full text paywalled; not pursued per CLAUDE.md sec11",EXPERT INTERPRETATION,MODERATE,citation as printed omits pages; bibliographic detail verified via Crossref
LEGACY_VERIFICATION,DDI-general,"Huang W et al. Front Pharmacol. 2025;16:1618701.",40880653,10.3389/fphar.2025.1618701,narrative review,n/a,n/a,DDI mechanisms overview (AI-prediction/vulnerable populations/regulatory),"general, not statin-specific",EXPERT INTERPRETATION,HIGH,
LEGACY_VERIFICATION,statin-DDI,"Kellick KA et al. J Clin Lipidol. 2014;8(3 Suppl):S30-S46.",24793440,10.1016/j.jacl.2014.02.010,NLA Safety Task Force review,n/a,n/a,statin-DDI risk classification proposal,"no single quantitative effect size in abstract",GUIDELINE/CONSENSUS,HIGH,
LEGACY_VERIFICATION,statin-CCB-DDI,"Fravel MA, Ernst M. Curr Hypertens Rep. 2021;23(3):14.",33666764,10.1007/s11906-021-01131-y,narrative review,n/a,n/a,CYP3A4-mediated antihypertensive DDI,"diltiazem and verapamil identified as potent CYP3A4 inhibitors; majority of significant antihypertensive DDIs attributable to these two agents",MECHANISTIC SUPPORT,HIGH,
LEGACY_VERIFICATION,antidiabetic-DDI,"May M, Schindler C. Ther Adv Endocrinol Metab. 2016;7(2):69-83.",27092232,10.1177/2042018816638050,narrative review,n/a,n/a,antidiabetic drug interaction risk stratification,"sulfonylureas/TZDs/glinides highest risk; metformin/DPP-4i (except saxagliptin) low; SGLT2i/incretin mimetics very low",MECHANISTIC SUPPORT,HIGH,
LEGACY_VERIFICATION,antidiabetic-DDI-CKD,"Zanchi A et al. Swiss Med Wkly. 2012;142:w13629.",22987488,10.4414/smw.2012.13629,narrative review,n/a,n/a,antidiabetic dosing in renal impairment,"metformin continuable to GFR 45 mL/min absent comorbidity; GLP-1 agonists contraindicated in moderate-advanced CKD",GUIDELINE/CONSENSUS,HIGH,
LEGACY_VERIFICATION,CKD-drug-dosing,"Sica DA. J Clin Hypertens (Greenwich). 2004;6(10 Suppl 2):24-30.",15470296,10.1111/j.1524-6175.2004.03940.x,narrative review,n/a,n/a,renal drug accumulation risk,"accumulation risk noted near GFR approx 30 mL/min; ACEI/ARB (+diuretic) most effective for BP/proteinuria in CKD",EXPERT INTERPRETATION,HIGH,
